UT_datetime, Type, Brightness, Zenith, Conditions, Latitude, Longitude, Moon_alt, Moon_illum, Clear SkyClock, Site description, User
2023-12-18 11:00:02, SQM-L,15.75, Up,100%, 39.2369, -84.4741,  -62, 35, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-18 10:00:02, SQM-L,16.04, Up,100%, 39.2369, -84.4741,  -62, 35, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-18 09:00:02, SQM-L,15.56, Up,100%, 39.2369, -84.4741,  -56, 34, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-18 08:00:02, SQM-L,15.67, Up,100%, 39.2369, -84.4741,  -48, 34, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-18 07:00:02, SQM-L,15.68, Up,100%, 39.2369, -84.4741,  -37, 33, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-18 06:00:02, SQM-L,15.62, Up,100%, 39.2369, -84.4741,  -27, 33, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-18 05:00:02, SQM-L,15.56, Up,100%, 39.2369, -84.4741,  -16, 32, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-18 04:00:02, SQM-L,15.58, Up,100%, 39.2369, -84.4741,  -5, 32, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-18 03:00:02, SQM-L,16.02, Up,100%, 39.2369, -84.4741,  6, 31, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-18 02:00:01, SQM-L,16.06, Up,100%, 39.2369, -84.4741,  15, 31, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-18 01:00:02, SQM-L,15.58, Up,100%, 39.2369, -84.4741,  24, 31, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-18 00:00:02, SQM-L,15.34, Up,100%, 39.2369, -84.4741,  30, 30, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-17 11:00:02, SQM-L,15.81, Up,100%, 39.2369, -84.4741,  -64, 25, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-17 10:00:02, SQM-L,15.74, Up,100%, 39.2369, -84.4741,  -69, 24, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-17 09:00:01, SQM-L,15.58, Up,100%, 39.2369, -84.4741,  -67, 24, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-17 08:00:02, SQM-L,15.49, Up,100%, 39.2369, -84.4741,  -60, 23, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-17 07:00:02, SQM-L,15.56, Up,100%, 39.2369, -84.4741,  -50, 23, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-17 06:00:02, SQM-L,15.5, Up,100%, 39.2369, -84.4741,  -40, 23, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-17 05:00:02, SQM-L,15.72, Up,100%, 39.2369, -84.4741,  -29, 22, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-17 04:00:02, SQM-L,15.88, Up,40%, 39.2369, -84.4741,  -18, 22, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-17 03:00:02, SQM-L,15.72, Up,80%, 39.2369, -84.4741,  -7, 21, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-17 02:00:02, SQM-L,15.34, Up,100%, 39.2369, -84.4741,  3, 21, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-17 01:00:01, SQM-L,15.56, Up,100%, 39.2369, -84.4741,  12, 21, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-17 00:00:02, SQM-L,15.87, Up,0%, 39.2369, -84.4741,  20, 20, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-16 11:00:02, SQM-L,17.29, Up,100%, 39.2369, -84.4741,  -59, 15, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-16 10:00:02, SQM-L,16.71, Up,100%, 39.2369, -84.4741,  -68, 15, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-16 09:00:02, SQM-L,16.77, Up,100%, 39.2369, -84.4741,  -74, 15, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-16 08:00:02, SQM-L,17.47, Up,100%, 39.2369, -84.4741,  -71, 14, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-16 07:00:02, SQM-L,17.49, Up,100%, 39.2369, -84.4741,  -63, 14, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-16 06:00:02, SQM-L,16.89, Up,90%, 39.2369, -84.4741,  -53, 14, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-16 05:00:02, SQM-L,17.92, Up,80%, 39.2369, -84.4741,  -42, 13, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-16 04:00:02, SQM-L,18.01, Up,80%, 39.2369, -84.4741,  -31, 13, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-16 03:00:02, SQM-L,18.08, Up,80%, 39.2369, -84.4741,  -20, 13, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-16 02:00:01, SQM-L,17.66, Up,70%, 39.2369, -84.4741,  -10, 12, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-16 01:00:01, SQM-L,17.78, Up,0%, 39.2369, -84.4741,  1, 12, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-16 00:00:01, SQM-L,18.03, Up,60%, 39.2369, -84.4741,  9, 12, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-15 11:00:02, SQM-L,18.27, Up,0%, 39.2369, -84.4741,  -51, 8, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-15 10:00:01, SQM-L,18.29, Up,0%, 39.2369, -84.4741,  -61, 8, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-15 09:00:02, SQM-L,18.3, Up,0%, 39.2369, -84.4741,  -71, 7, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-15 08:00:02, SQM-L,18.29, Up,0%, 39.2369, -84.4741,  -77, 7, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-15 07:00:02, SQM-L,18.27, Up,0%, 39.2369, -84.4741,  -74, 7, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-15 06:00:02, SQM-L,18.25, Up,0%, 39.2369, -84.4741,  -65, 7, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-15 05:00:02, SQM-L,18.23, Up,0%, 39.2369, -84.4741,  -54, 6, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-15 04:00:02, SQM-L,18.21, Up,0%, 39.2369, -84.4741,  -43, 6, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-15 03:00:01, SQM-L,18.16, Up,0%, 39.2369, -84.4741,  -33, 6, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-15 02:00:01, SQM-L,18.12, Up,0%, 39.2369, -84.4741,  -22, 6, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-15 01:00:02, SQM-L,18.09, Up,0%, 39.2369, -84.4741,  -12, 5, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-15 00:00:02, SQM-L,18.09, Up,0%, 39.2369, -84.4741,  -2, 5, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-14 11:00:02, SQM-L,18.24, Up,0%, 39.2369, -84.4741,  -40, 3, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-14 10:00:02, SQM-L,18.27, Up,0%, 39.2369, -84.4741,  -51, 3, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-14 09:00:02, SQM-L,18.27, Up,0%, 39.2369, -84.4741,  -62, 3, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-14 08:00:02, SQM-L,18.27, Up,0%, 39.2369, -84.4741,  -72, 2, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-14 07:00:02, SQM-L,18.27, Up,0%, 39.2369, -84.4741,  -79, 2, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-14 06:00:01, SQM-L,18.26, Up,0%, 39.2369, -84.4741,  -76, 2, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-14 05:00:02, SQM-L,18.2, Up,0%, 39.2369, -84.4741,  -66, 2, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-14 04:00:02, SQM-L,18.21, Up,0%, 39.2369, -84.4741,  -56, 2, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-14 03:00:02, SQM-L,18.15, Up,0%, 39.2369, -84.4741,  -45, 2, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-14 02:00:02, SQM-L,18.12, Up,0%, 39.2369, -84.4741,  -34, 2, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-14 01:00:02, SQM-L,18.08, Up,0%, 39.2369, -84.4741,  -23, 1, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-14 00:00:02, SQM-L,17.95, Up,0%, 39.2369, -84.4741,  -13, 1, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-13 12:00:02, SQM-L,16.91, Up,50%, 39.2369, -84.4741,  -18, 0, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-13 11:00:02, SQM-L,17.62, Up,0%, 39.2369, -84.4741,  -29, 0, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-13 10:00:01, SQM-L,17.5, Up,0%, 39.2369, -84.4741,  -40, 0, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-13 09:00:02, SQM-L,18.22, Up,40%, 39.2369, -84.4741,  -51, 0, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-13 08:00:01, SQM-L,18.23, Up,20%, 39.2369, -84.4741,  -61, 0, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
